dog,nseg,kb_avg,kb_total,coi
2451,2545,573688,225.418,0.260322
2457,2901,1.12844e+06,388.983,0.512051
2479,2473,572201,231.379,0.259647
2501,2723,1.05878e+06,388.828,0.480441
2502,2856,1.02835e+06,360.066,0.466633
2523,2179,483790,222.024,0.219529
2525,2182,1.01135e+06,463.498,0.458919
2539,2182,980034,449.145,0.444709
2543,2569,808769,314.819,0.366994
2552,2529,598105,236.499,0.271401
2569,2550,622814,244.241,0.282614
2574,2271,495275,218.087,0.22474
2616,2464,693659,281.518,0.314761
2633,2689,900769,334.983,0.408741
2634,2473,869690,351.674,0.394638
2640,2114,965669,456.797,0.438191
2662,3124,680015,217.674,0.30857
2663,1418,621307,438.158,0.28193
2699,2501,573560,229.332,0.260264
2705,2267,1.11001e+06,489.637,0.503688
2706,1869,384277,205.606,0.174373
2713,2258,458236,202.939,0.207933
2714,2074,419204,202.123,0.190222
2733,1859,668082,359.377,0.303155
2752,2338,526687,225.272,0.238994
2758,1830,359164,196.264,0.162977
2789,1351,254222,188.173,0.115358
2795,1878,1.44454e+06,769.191,0.655487
2800,2095,1.49536e+06,713.777,0.678548
2802,2469,626469,253.734,0.284272
2804,2515,888370,353.229,0.403115
2812,2542,541500,213.021,0.245716
2821,2436,551877,226.551,0.250425
2823,2896,1.03211e+06,356.392,0.468339
2824,2253,784448,348.179,0.355958
2843,2600,612549,235.596,0.277956
2846,2904,1.19279e+06,410.741,0.541251
2847,2069,1.10207e+06,532.658,0.500085
2852,2252,863043,383.234,0.391622
2860,3138,1.16924e+06,372.608,0.530565
2878,2719,723906,266.24,0.328486
2880,2860,1.10097e+06,384.954,0.499586
2885,2222,505427,227.465,0.229347
2886,2602,534928,205.584,0.242734
2893,2420,644135,266.172,0.292288
2900,2605,557133,213.871,0.25281
2908,2852,715798,250.981,0.324807
2920,2569,615086,239.426,0.279107
2921,2627,1.22739e+06,467.223,0.556951
2931,2116,452890,214.031,0.205507
2946,2209,494641,223.921,0.224453
2958,2465,588734,238.837,0.267149
2961,2313,557631,241.085,0.253036
2976,2366,1.13037e+06,477.754,0.512927
2977,2080,1.20448e+06,579.076,0.546556
2989,2659,721205,271.232,0.32726
2990,2096,482625,230.26,0.219
2999,2380,539311,226.601,0.244723
3028,2197,462128,210.345,0.209699
3035,3151,1.1803e+06,374.58,0.535583
3051,2264,515754,227.807,0.234033
3060,2573,1.0156e+06,394.714,0.460848
3066,2381,852071,357.863,0.386643
3085,2145,1.19092e+06,555.209,0.540402
3093,2808,1.07869e+06,384.149,0.489476
3094,2226,1.02501e+06,460.47,0.465118
3097,2354,1.06357e+06,451.812,0.482615
3121,2661,687478,258.353,0.311956
3123,2251,479683,213.098,0.217665
3127,2560,769602,300.626,0.349221
3135,2517,576020,228.852,0.26138
3136,2356,530584,225.205,0.240763
3145,2612,576396,220.672,0.261551
3161,2280,528591,231.838,0.239858
3167,2292,762490,332.675,0.345994
3168,2464,919513,373.179,0.417246
3188,2249,912750,405.847,0.414178
3200,3081,973217,315.877,0.441616
3218,2192,489249,223.198,0.222006
3222,2464,546196,221.67,0.247847
3241,2670,961110,359.966,0.436122
3243,2663,733660,275.501,0.332912
3244,2212,409565,185.156,0.185848
3264,2500,597898,239.159,0.271308
3288,2067,415614,201.071,0.188593
3302,2490,696345,279.657,0.31598
3303,2428,952696,392.379,0.432304
3304,2600,886763,341.063,0.402385
3309,1551,1.33412e+06,860.171,0.605382
3311,2310,493313,213.556,0.22385
3333,2448,613254,250.512,0.278276
3345,2574,961185,373.421,0.436156
3347,2904,980105,337.502,0.444741
3350,2428,590509,243.208,0.267955
3361,2480,649809,262.02,0.294863
3368,2295,591070,257.547,0.268209
3372,2304,495700,215.147,0.224933
3385,2717,623874,229.619,0.283095
3388,2907,1.00544e+06,345.867,0.456237
3389,2219,459624,207.131,0.208563
3396,3131,845148,269.929,0.383502
3397,2514,572798,227.843,0.259918
3398,2230,639202,286.638,0.29005
3402,2889,843099,291.831,0.382572
3403,3402,908711,267.111,0.412345
3435,2477,897050,362.152,0.407053
3436,2332,782046,335.354,0.354868
3447,2269,937515,413.184,0.425415
3455,2140,1.15598e+06,540.179,0.524548
3459,2093,1.19659e+06,571.712,0.542975
3460,1916,1.14657e+06,598.419,0.520278
3492,2383,513221,215.367,0.232884
3495,2350,521003,221.703,0.236415
3496,2359,844468,357.977,0.383193
3506,3170,907920,286.41,0.411986
3515,1883,399692,212.263,0.181368
3532,2393,623695,260.633,0.283013
3538,2160,483504,223.844,0.219399
3569,2546,580603,228.045,0.26346
3593,2388,515720,215.963,0.234018
3605,2216,469385,211.816,0.212992
3613,2576,995049,386.277,0.451522
3620,2449,566454,231.3,0.257039
3621,2507,643191,256.558,0.29186
3636,2624,773387,294.736,0.350939
3637,2785,876065,314.566,0.397531
3639,2642,929421,351.787,0.421742
3640,2366,704334,297.69,0.319605
3645,2284,962237,421.295,0.436633
3650,2513,718637,285.968,0.326095
3655,2249,561268,249.564,0.254686
3656,2360,1.36246e+06,577.312,0.618242
3657,2486,607588,244.404,0.275705
3658,3306,1.14547e+06,346.481,0.519779
3659,2432,553658,227.655,0.251233
3660,2133,1.0664e+06,499.954,0.483899
3665,2548,606691,238.105,0.275298
3667,2427,908534,374.344,0.412264
3669,2415,556730,230.53,0.252627
3679,2050,652643,318.362,0.296149
3680,2308,511020,221.412,0.231885
3683,2495,773669,310.088,0.351067
3684,2543,582208,228.945,0.264188
3698,3078,735995,239.115,0.333972
3709,2129,457308,214.799,0.207512
3712,2310,535980,232.026,0.243211
3752,2547,949031,372.608,0.430641
3763,2670,875807,328.018,0.397414
3764,2644,677383,256.196,0.307375
3765,2432,563119,231.546,0.255526
3767,2392,474503,198.371,0.215315
3771,3147,996342,316.601,0.452109
3782,2134,1.18981e+06,557.548,0.539899
3797,2402,500597,208.408,0.227155
3809,2465,706353,286.553,0.320521
3810,2638,937601,355.421,0.425454
3826,1905,1.35904e+06,713.409,0.61669
3832,1664,322068,193.55,0.146144
3837,3907,1.03188e+06,264.111,0.468235
3839,2435,523805,215.115,0.237686
3852,2409,597006,247.823,0.270903
3853,2106,1.15252e+06,547.254,0.522978
3859,2337,808021,345.751,0.366655
3863,2406,564146,234.475,0.255992
3872,2129,488263,229.339,0.221559
3909,2735,1.04376e+06,381.629,0.473626
3925,2840,1.01326e+06,356.781,0.459786
3928,2448,577522,235.916,0.262062
3931,2201,1.14216e+06,518.927,0.518277
3940,2386,571487,239.517,0.259323
3948,2488,591484,237.735,0.268397
3951,2478,596702,240.8,0.270765
3954,3473,762922,219.672,0.34619
3964,3052,1.06094e+06,347.621,0.481422
3980,3974,1.09443e+06,275.397,0.496618
3985,2509,819875,326.774,0.372034
