PHATE1	PHATE2	knn	cluster	dog	fid	ref
0.02061805462761061	-0.014926132162480829	40	10	295	295	FALSE
0.02260726197810602	-0.010328864920877942	40	10	296	296	FALSE
-0.003658762615362105	-0.007107210450293161	40	2	297	297	FALSE
0.014273735660371913	-0.009807284954342375	40	5	298	298	FALSE
0.008743456654215862	-0.018300660380601182	40	6	305	305	FALSE
-0.009064696382986038	0.016374457487131674	40	14	306	306	FALSE
-0.007258620856068606	-0.0038593069217529035	40	2	333	333	FALSE
0.006652843679796829	-0.003674377251080986	40	5	335	335	FALSE
0.01059126608084408	-0.0215071088003428	40	6	341	341	FALSE
0.0060382493079744375	-0.01779106563357846	40	6	343	343	FALSE
0.009564356411905854	-0.01761293250869681	40	6	344	344	FALSE
0.0877983937347161	0.07743554693383317	40	1	345	345	FALSE
-5.379209250357645e-4	0.004630548443749736	40	19	383	383	FALSE
0.009232613966808415	-0.01809779158128434	40	6	390	390	FALSE
0.008098964309598722	-0.01763487472544271	40	6	391	391	FALSE
0.009512091365647922	-0.017720097892706156	40	6	392	392	FALSE
0.009590037490679305	-0.01762034869778439	40	6	393	393	FALSE
0.013257327242197883	-0.005174136277933944	40	5	395	395	FALSE
-0.024204598496344553	0.049021593547851926	40	18	406	406	FALSE
-0.023781455820099547	0.04816012093669386	40	18	407	407	FALSE
0.025541805028097945	-0.01783838936451194	40	10	427	427	FALSE
-7.289450160287048e-4	0.002157266886019776	40	19	429	429	FALSE
0.019874130739413014	-0.007844844139133576	40	10	435	435	FALSE
-0.0026505823401124506	-0.0012528032951462337	40	2	443	443	FALSE
-0.0029642168582545425	-5.506742016534368e-4	40	19	446	446	FALSE
-0.005553402506887575	-0.0021862156278392663	40	2	472	472	FALSE
-0.004791871344137104	-0.005078323628210781	40	2	473	473	FALSE
-0.002284335219824711	0.0018851902663790281	40	19	497	497	FALSE
-0.004289557150312939	-0.0016404216907527313	40	2	508	508	FALSE
-0.0016507931422369625	0.0012735773448364729	40	19	511	511	FALSE
0.002176729301902479	4.439549559197452e-4	40	19	523	523	FALSE
-0.015968287981217966	0.03213558506320981	40	4	541	541	FALSE
-0.012112259286268178	-0.006829375857137827	40	13	542	542	FALSE
-0.004337360411909087	0.008589904226512806	40	0	548	548	FALSE
0.0011572137587099423	-0.011860787973455803	40	6	559	559	FALSE
-0.0043016313854608475	-0.022139958511160122	40	9	560	560	FALSE
0.028160904966477426	0.027056396076748784	40	8	561	561	FALSE
0.011146308350948151	-0.005586697797119164	40	5	565	565	FALSE
0.013961899496643362	-0.007171368585882111	40	5	566	566	FALSE
0.05525207735022823	-0.013593279336662942	40	3	569	569	FALSE
-0.00590203449202337	0.005639269265308385	40	0	581	581	FALSE
-0.010599293152371164	0.0200619143278041	40	14	582	582	FALSE
0.03851495577393935	-0.012064464400414823	40	3	603	603	FALSE
-0.008799813391391806	-0.0048783317277338	40	13	605	605	FALSE
-0.0016529306836374359	0.0018695070513949745	40	19	607	607	FALSE
-0.010817302457977993	-0.006367704014878753	40	13	616	616	FALSE
0.009212811248349134	-0.018029405343573838	40	6	635	635	FALSE
-0.011173681951232115	0.021686011772129875	40	14	637	637	FALSE
0.054439628153727646	-0.012941109991885543	40	3	638	638	FALSE
0.05738635828840536	-0.014857327961891747	40	3	639	639	FALSE
-0.01302623718429431	0.025917426951248154	40	4	656	656	FALSE
0.010939630531414524	-0.02218742621169177	40	6	678	678	FALSE
0.031162341503215528	0.030343790152610142	40	8	679	679	FALSE
0.011706634127740728	-0.004563860862242152	40	5	684	684	FALSE
-0.015635220950385914	-0.01250009007964978	40	11	697	697	FALSE
-5.092639499047086e-4	0.003014373232802703	40	19	700	700	FALSE
-0.0041321740863352	-0.018493542453723578	40	9	701	701	FALSE
0.010328461824148726	-0.020198967591518905	40	6	716	716	FALSE
0.007549244120619108	0.0012247368969603202	40	7	721	721	FALSE
-0.0010710061184577386	0.0012791027232046347	40	19	722	722	FALSE
-0.014774306615702481	0.030087662425675586	40	4	723	723	FALSE
-0.0019127177949799063	0.0022025122634856367	40	19	729	729	FALSE
0.006377685441585224	-0.017552045488791083	40	6	755	755	FALSE
-0.0033178564063019236	-0.007676813525252726	40	2	765	765	FALSE
-0.002387627804990764	-1.4796535672732133e-4	40	19	779	779	FALSE
-0.0056939702824231695	-0.0018716940175620533	40	2	784	784	FALSE
-0.02017420080888723	0.040897910608018465	40	18	790	790	FALSE
-0.020393716362714913	0.04133286345804469	40	18	791	791	FALSE
-0.023295176009220143	0.047178884313283646	40	18	798	798	FALSE
